source_id,source,venue_year,primary_use,closure_status,source_kind
SRC-001,"Cogitate Consortium. Adversarial GNWT versus IIT test","Nature, 2025","GNWT/IIT predictions; adversarial test","Complete in v0.2 core list",SINGLE_WORK
SRC-002,"Melloni et al. Adversarial collaboration protocol","PLOS ONE, 2023","GNWT/IIT preregistered comparison framework","Complete in v0.2 core list",SINGLE_WORK
SRC-003,"Albantakis et al. IIT 4.0","PLOS Computational Biology, 2023","IIT formal claims, axioms, postulates","Complete in v0.2 core list",SINGLE_WORK
SRC-004,"Sergent et al. No-report conscious access dynamics","Nature Communications, 2021","GNWT/access dynamics","Complete in v0.2 core list",SINGLE_WORK
SRC-005,"Seijdel et al. Recurrent processing and object recognition","Journal of Neuroscience, 2021","RPT/recurrent processing","Complete in v0.2 core list",SINGLE_WORK
SRC-006,"Auksztulewicz et al. Recurrent processing and somatosensory awareness","Journal of Neuroscience, 2012","RPT/somatosensory awareness","Complete in v0.2 core list",SINGLE_WORK
SRC-007,"Graziano and Webb. Attention schema theory","Frontiers in Psychology, 2015","AST core mechanism and graded awareness","Complete in v0.2 core list",SINGLE_WORK
SRC-008,"Baumgarten et al. Intracranial prediction and prediction-error signals","Nature Communications, 2026","Predictive processing neural signals","Complete in v0.2 core list",SINGLE_WORK
SRC-009,"McFadden. Electromagnetic-field theories","Frontiers in Human Neuroscience, 2023","EM-field consciousness claims","Complete in v0.2 core list",SINGLE_WORK
SRC-010,"Hameroff and Penrose. Orch OR review and claims","Physics of Life Reviews, 2014","Orch OR causal chain and claims","Complete in v0.2 core list",SINGLE_WORK
SRC-011,"Ma & Wang. Quantum theories of consciousness: a critical review of feasibility, philosophical sufficiency, and empirical testability","Frontiers in Psychology, 2026","Quantum-family feasibility, bridge, and testability audit","Closed; DOI 10.3389/fpsyg.2026.1730965",SINGLE_WORK
SRC-012,"Brown, Lau & LeDoux. Understanding the Higher-Order Approach to Consciousness","Trends in Cognitive Sciences, 2019","HOT theory specification and rival distinctions","Closed; DOI 10.1016/j.tics.2019.06.009",SINGLE_WORK
SRC-013,"Rounis et al. Theta-burst TMS to prefrontal cortex impairs metacognitive visual awareness","Cognitive Neuroscience, 2010","Causal perturbation of perceptual metacognition","Closed; DOI 10.1080/17588921003632529",SINGLE_WORK
SRC-014,"Fleming et al. Domain-specific impairment in metacognitive accuracy following anterior prefrontal lesions","Brain, 2014","Lesion evidence for perceptual metacognition","Closed; DOI 10.1093/brain/awu221",SINGLE_WORK
SRC-015,"Sarasso et al. Consciousness and Complexity during Unresponsiveness Induced by Propofol, Xenon, and Ketamine","Current Biology, 2015","Anesthesia state dissociation; TMS-EEG perturbational complexity","Closed; DOI 10.1016/j.cub.2015.10.014",SINGLE_WORK
SRC-016,"Boveroux et al. Breakdown of within- and between-network resting-state fMRI connectivity during propofol-induced loss of consciousness","Anesthesiology, 2010","Propofol connectivity and recovery across network hierarchy","Closed; DOI 10.1097/ALN.0b013e3181f697f5",SINGLE_WORK
SRC-017,"Jordan et al. Simultaneous EEG-fMRI indicate impaired cortical top-down processing in anesthetic-induced unconsciousness","Anesthesiology, 2013","Directional feedback connectivity under propofol","Closed; DOI 10.1097/ALN.0b013e3182a7ca92",SINGLE_WORK
SRC-018,"Critical dynamics in spontaneous EEG predict anesthetic-induced loss of consciousness and perturbational complexity","Communications Biology, 2024","Propofol/xenon/ketamine state dissociation and criticality","Closed; secondary analysis of Sarasso dataset",SINGLE_WORK
SRC-019,"An implementation of integrated information theory in resting-state fMRI","Communications Biology, 2023","IIT 3.0-inspired implementation during propofol sedation","Closed; practical implementation, not exact IIT 4.0 validation",SINGLE_WORK
SRC-020,"Kalra et al. Electronic Energy Migration in Microtubules","ACS Central Science, 2023","Microtubule energy migration and anesthetic sensitivity","Closed; DOI 10.1021/acscentsci.2c01114",SINGLE_WORK
SRC-021,"Siclari et al. Assessing sleep consciousness within subjects using a serial awakening paradigm","Frontiers in Psychology, 2013","Within-subject experience/no-experience sampling across NREM and REM","Closed; DOI 10.3389/fpsyg.2013.00542",SINGLE_WORK
SRC-022,"Siclari et al. The neural correlates of dreaming","Nature Neuroscience, 2017","Within-state posterior EEG correlates and content-sensitive dream decoding","Closed; DOI 10.1038/nn.4545",SINGLE_WORK
SRC-023,"Massimini et al. Breakdown of cortical effective connectivity during sleep","Science, 2005","TMS-EEG causal propagation during wake versus NREM sleep","Closed; DOI 10.1126/science.1117256",SINGLE_WORK
SRC-024,"Pigorini et al. Bistability breaks-off deterministic responses to intracortical stimulation during non-REM sleep","NeuroImage, 2015","Intracranial stimulation; OFF-period/bistability mechanism in NREM","Closed; DOI 10.1016/j.neuroimage.2015.02.056",SINGLE_WORK
SRC-025,"Casali et al. A theoretically based index of consciousness independent of sensory processing and behavior","Science Translational Medicine, 2013","PCI across wake, dreaming, NREM sleep, anesthesia and brain injury","Closed; DOI 10.1126/scitranslmed.3006294",SINGLE_WORK
SRC-026,"Casarotto et al. Stratification of unresponsive patients by an independently validated index of brain complexity","Annals of Neurology, 2016","Independent PCI cutoff validation using dreaming and unconscious NREM benchmark states","Closed; DOI 10.1002/ana.24779",SINGLE_WORK
SRC-027,"Tononi, Boly & Cirelli. Consciousness and sleep","Neuron, 2024","Contemporary synthesis of dreaming, dreamless sleep, bistability, disconnection and content","Closed; DOI 10.1016/j.neuron.2024.04.011",SINGLE_WORK
SRC-028,"Nir et al. Regional slow waves and spindles in human sleep","Neuron, 2011","Intracranial evidence that NREM slow waves and spindles are substantially local","Closed; DOI 10.1016/j.neuron.2011.02.043",SINGLE_WORK
SRC-029,"Giacino, Kalmar & Whyte. JFK Coma Recovery Scale-Revised: measurement characteristics and diagnostic utility","Arch Phys Med Rehabil, 2004","Standardized behavioral consciousness assessment; reference method","Closed; doi:10.1016/j.apmr.2004.02.033",SINGLE_WORK
SRC-030,"Schnakers et al. Diagnostic accuracy of vegetative and minimally conscious state","BMC Neurology, 2009","Behavioral misdiagnosis; CRS-R versus clinical consensus","Closed; doi:10.1186/1471-2377-9-35",SINGLE_WORK
SRC-031,"Owen et al. Detecting awareness in the vegetative state","Science, 2006","Proof-of-principle covert command following by mental imagery","Closed; doi:10.1126/science.1130197",SINGLE_WORK
SRC-032,"Monti et al. Willful modulation of brain activity in disorders of consciousness","N Engl J Med, 2010","Multicenter fMRI mental imagery and yes/no communication","Closed; doi:10.1056/NEJMoa0905370",SINGLE_WORK
SRC-033,"Claassen et al. Detection of brain activation in unresponsive patients with acute brain injury","N Engl J Med, 2019","EEG cognitive-motor dissociation in acute brain injury and prognosis","Closed; doi:10.1056/NEJMoa1812757",SINGLE_WORK
SRC-034,"Bodien et al. Cognitive Motor Dissociation in Disorders of Consciousness","N Engl J Med, 2024","Six-center fMRI/EEG prevalence study; active-paradigm sensitivity limits","Closed; doi:10.1056/NEJMoa2400645",SINGLE_WORK
SRC-035,"Giacino et al. Practice guideline update recommendations summary: Disorders of consciousness","Neurology, 2018","Serial standardized assessment; diagnosis/prognosis clinical guardrails","Closed; doi:10.1212/WNL.0000000000005926",SINGLE_WORK
SRC-036,"Peterson et al. Risk, diagnostic error, and the clinical science of consciousness","NeuroImage: Clinical, 2015","False-positive/false-negative risks in active fMRI/EEG paradigms","Closed; doi:10.1016/j.nicl.2015.02.008",SINGLE_WORK
SRC-037,"Sperry RW. Hemisphere deconnection and unity in conscious awareness","American Psychologist, 1968","Foundational split-brain interpretation; divided access/control","Closed for source identity; foundational interpretation",SINGLE_WORK
