source_id,source,venue_year,primary_use,closure_status
SRC-001,Cogitate Consortium. Adversarial GNWT versus IIT test,"Nature, 2025",GNWT/IIT predictions; adversarial test,Complete in v0.2 core list
SRC-002,Melloni et al.. Adversarial collaboration protocol,"PLOS ONE, 2023",GNWT/IIT preregistered comparison framework,Complete in v0.2 core list
SRC-003,Albantakis et al.. IIT 4.0,"PLOS Computational Biology, 2023","IIT formal claims, axioms, postulates",Complete in v0.2 core list
SRC-004,Sergent et al.. No-report conscious access dynamics,"Nature Communications, 2021",GNWT/access dynamics,Complete in v0.2 core list
SRC-005,Seijdel et al.. Recurrent processing and object recognition,"Journal of Neuroscience, 2021",RPT/recurrent processing,Complete in v0.2 core list
SRC-006,Auksztulewicz et al.. Recurrent processing and somatosensory awareness,"Journal of Neuroscience, 2012",RPT/somatosensory awareness,Complete in v0.2 core list
SRC-007,Graziano and Webb. Attention schema theory,"Frontiers in Psychology, 2015",AST core mechanism and graded awareness,Complete in v0.2 core list
SRC-008,Baumgarten et al.. Intracranial prediction and prediction-error signals,"Nature Communications, 2026",Predictive processing neural signals,Complete in v0.2 core list
SRC-009,McFadden. Electromagnetic-field theories,"Frontiers in Human Neuroscience, 2023",EM-field consciousness claims,Complete in v0.2 core list
SRC-010,Hameroff and Penrose. Orch OR review and claims,"Physics of Life Reviews, 2014",Orch OR causal chain and claims,Complete in v0.2 core list
SRC-011,"Ma & Wang. Quantum theories of consciousness: a critical review of feasibility, philosophical sufficiency, and empirical testability","Frontiers in Psychology, 2026","Quantum-family feasibility, bridge, and testability audit",Closed; DOI 10.3389/fpsyg.2026.1730965
SRC-012,"Brown, Lau & LeDoux. Understanding the Higher-Order Approach to Consciousness","Trends in Cognitive Sciences, 2019",HOT theory specification and rival distinctions,Closed; DOI 10.1016/j.tics.2019.06.009
SRC-013,Rounis et al. Theta-burst TMS to prefrontal cortex impairs metacognitive visual awareness,"Cognitive Neuroscience, 2010",Causal perturbation of perceptual metacognition,Closed; DOI 10.1080/17588921003632529
SRC-014,Fleming et al. Domain-specific impairment in metacognitive accuracy following anterior prefrontal lesions,"Brain, 2014",Lesion evidence for perceptual metacognition,Closed; DOI 10.1093/brain/awu221
SRC-015,"Sarasso et al. Consciousness and Complexity during Unresponsiveness Induced by Propofol, Xenon, and Ketamine","Current Biology, 2015",Anesthesia state dissociation; TMS-EEG perturbational complexity,Closed; DOI 10.1016/j.cub.2015.10.014
SRC-016,Boveroux et al. Breakdown of within- and between-network resting-state fMRI connectivity during propofol-induced loss of consciousness,"Anesthesiology, 2010",Propofol connectivity and recovery across network hierarchy,Closed; DOI 10.1097/ALN.0b013e3181f697f5
SRC-017,Jordan et al. Simultaneous EEG-fMRI indicate impaired cortical top-down processing in anesthetic-induced unconsciousness,"Anesthesiology, 2013",Directional feedback connectivity under propofol,Closed; DOI 10.1097/ALN.0b013e3182a7ca92
SRC-018,Critical dynamics in spontaneous EEG predict anesthetic-induced loss of consciousness and perturbational complexity,"Communications Biology, 2024",Propofol/xenon/ketamine state dissociation and criticality,Closed; secondary analysis of Sarasso dataset
SRC-019,An implementation of integrated information theory in resting-state fMRI,"Communications Biology, 2023",IIT 3.0-inspired implementation during propofol sedation,"Closed; practical implementation, not exact IIT 4.0 validation"
